pscore	qscore	npeaks	lpeaks	avelpeak
9.90	8.43	25424	4117941	161.97
9.60	8.15	26305	4246566	161.44
9.30	7.85	26932	4333778	160.92
9.00	7.57	28000	4477345	159.91
8.70	7.28	29063	4628047	159.24
8.40	6.99	29756	4724574	158.78
8.10	6.71	30963	4893346	158.04
7.80	6.42	32297	5079628	157.28
7.50	6.13	33059	5201216	157.33
7.20	5.85	34403	5395408	156.83
6.90	5.57	35930	5610015	156.14
6.60	5.28	37788	5850187	154.82
6.30	5.00	39027	6018218	154.21
6.00	4.72	40849	6271813	153.54
5.70	4.43	42911	6562095	152.92
5.40	4.16	45181	6880042	152.28
5.10	3.87	46618	7099945	152.30
4.80	3.59	49136	7454612	151.71
4.50	3.31	51823	7846922	151.42
4.20	3.04	54949	8288583	150.84
3.90	2.76	58094	8764083	150.86
3.60	2.49	61533	9295245	151.06
3.30	2.21	65419	9872645	150.91
3.00	1.94	69676	10546226	151.36
2.70	1.67	74055	11245347	151.85
2.40	1.40	79144	12082578	152.67
2.10	1.13	84797	13025812	153.61
1.80	0.86	89156	13817457	154.98
1.50	0.60	97362	15298940	157.13
1.20	0.34	104515	16724215	160.02
0.90	0.10	115491	18946318	164.05
0.60	0.00	128949	21927860	170.05
0.30	0.00	149208	27007351	181.00
